lot_id,name,start_price,appraised_price,region_code,property_group,is_closed,auction_cnt,is_single_step,no_docs,zaklad_percent,price_vs_appraised,duration_hours,red_flag_score,ensemble_score,xgb_prob,iso_anomaly,url,is_suspicious,flag_type,comment
23378638,KA1722223042/39-1 yer uchastkasi,25754389.2,25754389.200000003,UZ-QR,Yer uchastkalari,0,1,1,0,7.5,0.9999999999999999,-1.0,5.5,0.7482,0.9945398,1,https://e-auksion.uz/lot-view?lot_id=23378638,,,
23464700,Бўш ер участкаси - Y1722215-380760/064,3793238.4,18966192.0,UZ-QR,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,119,0,0,25.0,0.19999999999999998,-1.0,4.5,0.614,0.9993418,0,https://e-auksion.uz/lot-view?lot_id=23464700,,,
23257083,"Ko`chma savdo joyi, yo`l yoqasida - SX49723",356400.0,356400.0,UZ-QA,Koʻchma savdo joylari,0,85,0,0,50.0,1.0,-1.0,2.5,0.048,0.00040830384,0,https://e-auksion.uz/lot-view?lot_id=23257083,,,
23451498,Бўш ер участкаси - Y1730215-1021568/069,5015945.08,25079725.4,UZ-XO,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,52,0,0,25.0,0.2,-1.0,4.5,0.6109,0.99960154,0,https://e-auksion.uz/lot-view?lot_id=23451498,,,
23268418,Bino-inshoaat,727056000.0,727056000.0,UZ-SU,Koʻchmas mulk,0,1,1,1,5.0,1.0,-1.0,7.0,0.9233,0.99952877,1,https://e-auksion.uz/lot-view?lot_id=23268418,,,
23339313,COBALT,124352000.0,124352000.0,UZ-TK,Avtotransport,0,1,1,1,5.0,1.0,-1.0,6.5,0.8944,0.9976966,1,https://e-auksion.uz/lot-view?lot_id=23339313,,,
23300785,NEXIA SOHC,28956000.0,28956000.0,UZ-TK,Avtotransport,0,4,0,1,5.0,1.0,-1.0,5.0,0.9618,0.99905306,1,https://e-auksion.uz/lot-view?lot_id=23300785,,,
23373065,KA1706204008/4-1 yer uchastkasi,4635000.0,39172179.6,UZ-SA,Yer uchastkalari,0,28,0,0,12.5,0.1183237707814451,-1.0,4.5,0.633,0.9992538,0,https://e-auksion.uz/lot-view?lot_id=23373065,,,
23377002,Y1708215008/135 yer uchastkasi,4635000.0,9866487.0,UZ-FA,Yer uchastkalari,0,28,0,0,25.0,0.4697720678089375,-1.0,4.5,0.6271,0.9989945,0,https://e-auksion.uz/lot-view?lot_id=23377002,,,
23336686,KA1735233024/11-1 yer uchastkasi,4218750.0,9966850.81,UZ-SU,Yer uchastkalari,0,33,0,0,25.0,0.4232781327244528,-1.0,4.5,0.6525,0.9991086,0,https://e-auksion.uz/lot-view?lot_id=23336686,,,
23260552,-DAMAS,74592000.0,74592000.0,UZ-AN,Avtotransport,0,1,1,1,5.0,1.0,-1.0,6.5,0.8873,0.9982368,1,https://e-auksion.uz/lot-view?lot_id=23260552,,,
23460126,Бўш ер участкаси - Y1730218-15569/024,1749631.94,8748159.68,UZ-XO,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,276,0,0,25.0,0.20000000045723904,-1.0,4.5,0.6303,0.9994808,0,https://e-auksion.uz/lot-view?lot_id=23460126,,,
23465288,Бўш ер участкаси - Y1722210-537288/044,3573976.0,17869880.0,UZ-QR,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,62,0,0,25.0,0.2,-1.0,4.5,0.6115,0.9993418,0,https://e-auksion.uz/lot-view?lot_id=23465288,,,
23437482,Asbob-uskunalar,871157579.0,4052177920.0,UZ-BU,"""Oʻzpaxtasanoat"" AJ mol-mulklari",0,48,0,0,5.0,0.21498502686673737,-1.0,5.5,0.8529,0.997632,1,https://e-auksion.uz/lot-view?lot_id=23437482,,,
23334715,MG1708204003/212 yer uchastkasi,4598750.0,27783758.0,UZ-FA,Yer uchastkalari,0,38,0,0,12.5,0.16551936566680434,-1.0,4.5,0.6521,0.99920887,0,https://e-auksion.uz/lot-view?lot_id=23334715,,,
23454169,Бўш ер участкаси - Y1727206-1007901/009,22920548.74,114602743.7,UZ-AN,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,309,0,0,15.0,0.19999999999999998,-1.0,4.5,0.6774,0.9994086,0,https://e-auksion.uz/lot-view?lot_id=23454169,,,
23368399,"Ko`chma savdo joyi, yo`l yoqasida - SX167132",102000.0,102000.0,UZ-TO,Koʻchma savdo joylari,0,29,0,0,50.0,1.0,-1.0,2.5,0.0282,0.0005528448,0,https://e-auksion.uz/lot-view?lot_id=23368399,,,
