lot_number,lot_url,district,category,auction_settings,start_price,appraised_price,price_ratio,auction_count,is_suspicious,is_bankruptcy,no_discount,price_below_10pct,price_below_70pct,is_ultra_repeated,seller_lot_count
23365337,https://e-auksion.uz/lot-view?lot_id=23365337,Bag`dod tumani,Tadbirkorlik va shaharsozlik uchun,Yer uchastkalari mulk huquqi (71),4660750.0,7648355.0,0.6093794024989687,40,1,0,0,0,1,0,1911
23466887,https://e-auksion.uz/lot-view?lot_id=23466887,Oltiariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),5866130.16,29330650.8,0.2,52,1,0,0,0,1,0,3782
23466642,https://e-auksion.uz/lot-view?lot_id=23466642,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),4260959.21,21304796.04,0.20000000009387559,52,1,0,0,0,1,0,3782
23466860,https://e-auksion.uz/lot-view?lot_id=23466860,Farg`ona tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),2486722.0,12433610.0,0.2,52,1,0,0,0,1,0,3782
23449290,https://e-auksion.uz/lot-view?lot_id=23449290,Beshariq tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,2078803.0,10394014.98,0.20000000038483684,281,1,0,0,0,1,1,3782
23448975,https://e-auksion.uz/lot-view?lot_id=23448975,Farg`ona tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,1835650.87,9178254.33,0.20000000043581273,59,1,0,0,0,1,0,3782
23466192,https://e-auksion.uz/lot-view?lot_id=23466192,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),2629031.33,13145156.64,0.20000000015214728,52,1,0,0,0,1,0,3782
23336003,https://e-auksion.uz/lot-view?lot_id=23336003,Quva tumani,Tadbirkorlik va shaharsozlik uchun,Ijara huquqi (VM-71),4218750.0,12774297.0,0.33025300726920626,35,1,0,0,0,1,0,1911
23461674,https://e-auksion.uz/lot-view?lot_id=23461674,Toshloq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),1467484.78,7337423.89,0.20000000027257525,267,1,0,0,0,1,1,3782
23459833,https://e-auksion.uz/lot-view?lot_id=23459833,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),3407294.93,17036474.67,0.19999999976520963,281,1,0,0,0,1,1,3782
